编号,英语,微积分,矩阵,概率论,科研表现
1,88.00 ,92.00 ,90.00 ,85.00 ,1.00 
2,92.00 ,89.00 ,88.00 ,98.00 ,1.00 
3,89.00 ,86.00 ,87.00 ,85.00 ,1.00 
4,97.00 ,94.00 ,96.00 ,89.00 ,1.00 
5,88.00 ,91.00 ,87.00 ,86.00 ,1.00 
6,87.00 ,79.00 ,86.00 ,93.00 ,1.00 
7,77.00 ,86.00 ,95.00 ,86.00 ,1.00 
8,91.00 ,90.00 ,76.00 ,91.00 ,1.00 
9,87.00 ,85.00 ,87.00 ,85.00 ,1.00 
10,85.00 ,86.00 ,85.00 ,84.00 ,1.00 
11,74.00 ,76.00 ,74.00 ,83.00 ,0.00 
12,75.00 ,86.00 ,68.00 ,66.00 ,0.00 
13,76.00 ,74.00 ,74.00 ,74.00 ,0.00 
14,83.00 ,73.00 ,85.00 ,85.00 ,0.00 
15,64.00 ,78.00 ,90.00 ,80.00 ,0.00 
16,75.00 ,76.00 ,84.00 ,73.00 ,0.00 
17,80.00 ,74.00 ,76.00 ,64.00 ,0.00 
18,76.00 ,72.00 ,82.00 ,78.00 ,0.00 
19,69.00 ,73.00 ,75.00 ,82.00 ,0.00 
20,83.00 ,76.00 ,76.00 ,74.00 ,0.00 
21,77.00 ,73.00 ,75.00 ,73.00 ,0.00 
22,78.00 ,75.00 ,72.00 ,89.00 ,0.00 
23,74.00 ,78.00 ,79.00 ,74.00 ,0.00 
24,76.00 ,80.00 ,72.00 ,85.00 ,0.00 
25,73.00 ,83.00 ,70.00 ,70.00 ,0.00 
26,59.00 ,75.00 ,63.00 ,64.00 ,0.00 
27,78.00 ,78.00 ,84.00 ,74.00 ,0.00 
28,74.00 ,75.00 ,76.00 ,77.00 ,0.00 
29,72.00 ,74.00 ,77.00 ,80.00 ,0.00 
30,63.00 ,71.00 ,77.00 ,69.00 ,0.00 
